# X , Y , E
0
-16.0706,0.0237041,0.00334747
-15.9496,0.0223701,0.00269399
-15.8286,0.0192882,0.00269356
-15.7076,0.0198237,0.00272285
-15.5867,0.0224658,0.00283563
-15.4657,0.0231588,0.00291791
-15.3447,0.0214373,0.00297298
-15.2237,0.0179603,0.00291514
-15.1027,0.0184533,0.00290864
-14.9817,0.0241515,0.00293523
-14.8608,0.0270857,0.00302484
-14.7398,0.0294173,0.00306806
-14.6188,0.0228109,0.00304193
-14.4978,0.0210901,0.00294996
-14.3768,0.0244773,0.00297407
-14.2559,0.025776,0.00295013
-14.1349,0.028439,0.00304969
-14.0139,0.027083,0.00301344
-13.8929,0.0334865,0.00304658
-13.7719,0.0330265,0.00296787
-13.6509,0.0352023,0.00297834
-13.53,0.031697,0.00296335
-13.409,0.0352563,0.0030488
-13.288,0.0331856,0.00306457
-13.167,0.0354913,0.00312092
-13.046,0.0372462,0.00316152
-12.925,0.0405144,0.00318104
-12.8041,0.0442219,0.00317456
-12.6831,0.038939,0.00317399
-12.5621,0.0373416,0.00324844
-12.4411,0.0430109,0.00330175
-12.3201,0.0530561,0.00339978
-12.1991,0.06106,0.00343654
-12.0782,0.0649948,0.00360739
-11.9572,0.0710635,0.00370026
-11.8362,0.078261,0.00388051
-11.7152,0.0770076,0.00396797
-11.5942,0.0821261,0.00409338
-11.4732,0.0875766,0.00424939
-11.3523,0.104994,0.00441224
-11.2313,0.120045,0.00461778
-11.1103,0.129419,0.00476395
-10.9893,0.132742,0.00492179
-10.8683,0.135502,0.00504498
-10.7473,0.139805,0.0051438
-10.6264,0.150856,0.00520445
-10.5054,0.15521,0.00526045
-10.3844,0.162015,0.00532562
-10.2634,0.161597,0.00543351
-10.1424,0.159885,0.00546892
-10.0214,0.15645,0.00546938
-9.90046,0.146519,0.00542083
-9.77947,0.14351,0.0054076
-9.65849,0.136904,0.0053882
-9.53751,0.143031,0.00538039
-9.41652,0.146015,0.00541949
-9.29554,0.147272,0.00539463
-9.17456,0.135686,0.00536031
-9.05357,0.135781,0.00533155
-8.93259,0.137018,0.00533042
-8.81161,0.153929,0.00534095
-8.69062,0.158606,0.00534549
-8.56964,0.174143,0.00544444
-8.44866,0.181899,0.00555224
-8.32767,0.196184,0.00566247
-8.20669,0.199472,0.00571275
-8.08571,0.211046,0.00582242
-7.96473,0.21381,0.00589588
-7.84374,0.23324,0.00608379
-7.72276,0.236435,0.00617712
-7.60178,0.255674,0.00634026
-7.48079,0.262873,0.00636128
-7.35981,0.276428,0.00645773
-7.23883,0.284993,0.00655345
-7.11784,0.290448,0.00669971
-6.99686,0.302329,0.00684661
-6.87588,0.303194,0.00692607
-6.75489,0.314634,0.00702715
-6.63391,0.321216,0.00714146
-6.51293,0.341443,0.00729457
-6.39194,0.360184,0.00747588
-6.27096,0.385736,0.00762301
-6.14998,0.410287,0.00782605
-6.02899,0.428803,0.00799589
-5.90801,0.45391,0.00828965
-5.78703,0.479605,0.00852511
-5.66605,0.524378,0.00886909
-5.54506,0.568759,0.00913629
-5.42408,0.627958,0.00950638
-5.3031,0.685388,0.00984538
-5.18211,0.744232,0.0102476
-5.06113,0.81049,0.0106242
-4.94015,0.863249,0.0109788
-4.81916,0.941929,0.0114048
-4.69818,1.02347,0.0118717
-4.5772,1.13082,0.0123975
-4.45621,1.20404,0.0128707
-4.33523,1.29585,0.0134033
-4.21425,1.38679,0.0139773
-4.09326,1.50593,0.0146131
-3.97228,1.58475,0.0152625
-3.8513,1.65393,0.0159996
-3.73031,1.74865,0.0169369
-3.60933,1.84716,0.0180371
-3.48835,1.94462,0.0193156
-3.36736,2.03216,0.0208304
-3.24638,2.14324,0.0226706
-3.1254,2.37386,0.0248714
-3.00442,2.7047,0.0273747
-2.88343,3.30724,0.0302463
-2.76245,4.13653,0.033475
-2.64147,5.44562,0.0370803
-2.52048,7.37423,0.0411629
-2.3995,10.4048,0.0459106
-2.27852,14.9671,0.0515062
-2.15753,21.5472,0.0580944
-2.03655,30.7593,0.0658143
-1.91557,43.4021,0.0748006
-1.79458,59.9246,0.084983
-1.6736,80.3352,0.0960248
-1.55262,104.41,0.107708
-1.43163,131.656,0.119667
-1.31065,161.367,0.131786
-1.18967,192.657,0.14372
-1.06868,224.838,0.155371
-0.947701,257.719,0.166591
-0.826718,290.664,0.17732
-0.705735,323.38,0.187475
-0.584752,355.595,0.196932
-0.463769,386.48,0.20552
-0.342786,414.588,0.212877
-0.221802,437.486,0.218587
-0.100819,452.014,0.221937
0.0201639,454.03,0.22216
0.141147,440.63,0.218515
0.26213,411.053,0.210665
0.383113,368.01,0.198788
0.504097,315.644,0.183531
0.62508,259.613,0.16595
0.746063,204.89,0.147253
0.867046,155.365,0.128636
0.988029,112.917,0.111088
1.10901,78.4631,0.0954005
1.23,51.6642,0.0820936
1.35098,32.0564,0.0716585
1.47196,18.4717,0.0643607
1.59295,9.7295,0.0601281
1.71393,4.22055,0.0582427
1.83491,0.918927,0.0579307
1.95589,-1.37527,0.0583986
2.07688,-2.82904,0.0592038
2.19786,-4.03512,0.0600332
2.31884,-4.83253,0.06077
2.43983,-5.40971,0.0612662
2.56081,-5.84034,0.0614645
2.68179,-6.06564,0.0612959
2.80278,-6.25638,0.0607835
2.92376,-6.2765,0.0598565
3.04474,-6.18985,0.0585465
3.16573,-5.98235,0.0568332
3.28671,-5.68643,0.0547653
3.40769,-5.34994,0.0523436
3.52868,-4.86688,0.0496889
3.64966,-4.33111,0.0468064
3.77064,-3.7368,0.0438488
3.89163,-3.14558,0.0407618
